taxid	species
1961	Streptomyces virginiae
197	Campylobacter jejuni
197614	Streptococcus pasteurianus
198620	Pseudomonas koreensis
199592	Microbacterium paraoxydans
2021	Thermobifida fusca
2026186	Bacillus paranthracis
2033	Microbacterium testaceum
203795	Alteromonas marina
204038	Dickeya dadantii
204039	Dickeya dianthicola
2042057	Pectobacterium polaris
204516	Phocaeicola massiliensis
2047	Rothia dentocariosa
2055	Gordonia terrae
2061	Tsukamurella paurometabola
208223	Kosakonia cowanii
208224	Enterobacter kobei
208479	Enterocloster bolteae
210	Helicobacter pylori
2107	Mycoplasmopsis pulmonis
2111	Metamycoplasma arthritidis
2115968	Lysinibacillus capsici
212663	Vibrio tasmaniensis
2133	Spiroplasma citri
2134	Spiroplasma melliferum
2138	Spiroplasma poulsonii
2148	Acholeplasma laidlawii
215813	Dinoroseobacter shibae
2184758	Rhodoferax lacus
2242	Halobacterium salinarum
2248	Halorubrum saccharovorum
227866	Bacillus tequilensis
229007	Halomonas ventosae
235	Brucella abortus
2371	Xylella fastidiosa
239935	Akkermansia muciniphila
24	Shewanella putrefaciens
2434	Roseobacter denitrificans
244366	Klebsiella variicola
246167	Vibrio crassostreae
246272	Alkalihalobacterium bogoriense
247480	Thermaerobacillus caldiproteolyticus
2487355	Pseudomonas carnis
2528027	Calycomorphotria hydatis
253	Chryseobacterium indologenes
257758	Streptococcus pseudopneumoniae
262668	Acinetobacter beijerinckii
263819	Yersinia aleksiciae
267375	Pseudoalteromonas marina
2702	Gardnerella vaginalis
2725268	Hujiaoplasma nucleasis
273384	Brevibacterium aurantiacum
274	Thermus thermophilus
2748	Carnobacterium divergens
2756	Brochothrix thermosphacta
2774189	Brevundimonas pondensis
2774190	Brevundimonas goettingensis
2780091	Luteibacter flocculans
28026	Bifidobacterium pseudocatenulatum
28028	Corynebacterium flavescens
28031	Lysinibacillus fusiformis
28037	Streptococcus mitis
28038	Latilactobacillus curvatus
280483	Thalassotalea loyana
28090	Acinetobacter lwoffii
28095	Burkholderia gladioli
28107	Pseudoalteromonas espejiana
